id,season,speed_difference,pass_difference,diffrenceWins,diffrenceGoals,overall_rating_difference,potential_difference,chance_creations_difference,defence_pressure_difference,defence_aggression_difference,goal_difference,diffrenceDaysBeforeLastGame,home_status
2170,2009/2010,39.0,13.0,-21.0,-66.0,-16.0,-7.0,-11.0,-24.0,-16.0,-4,0.0,L
2171,2009/2010,-5.0,-19.0,12.0,-25.0,-116.0,-126.0,-24.0,20.0,1.0,-1,1.0,L
2172,2009/2010,-11.0,-7.0,-12.0,8.0,-11.0,41.0,10.0,8.0,0.0,1,-1.0,W
2173,2009/2010,-8.0,-7.0,-17.0,-57.0,7.0,9.0,-20.0,9.0,6.0,1,1.0,W
2174,2009/2010,9.0,-3.0,4.0,26.0,-17.0,-22.0,4.0,-18.0,-15.0,1,0.0,W
2175,2009/2010,-4.0,0.0,-1.0,-4.0,27.0,43.0,0.0,-11.0,4.0,0,-1.0,D
2176,2009/2010,-6.0,20.0,-17.0,-93.0,-53.0,-43.0,-4.0,-1.0,-2.0,0,1.0,D
2177,2009/2010,7.0,-1.0,11.0,53.0,-40.0,-23.0,-18.0,-3.0,7.0,3,0.0,W
2178,2009/2010,11.0,-19.0,11.0,68.0,24.0,-10.0,-3.0,7.0,7.0,2,-1.0,W
2179,2009/2010,-25.0,-10.0,15.0,48.0,-12.0,-1.0,2.0,19.0,9.0,-1,0.0,L
2180,2009/2010,-3.0,-7.0,0.0,7.0,19.0,42.0,9.0,-18.0,-11.0,0,0.0,D
2181,2009/2010,-16.0,-6.0,2.0,9.0,2.0,26.0,2.0,8.0,5.0,0,-1.0,D
2182,2009/2010,1.0,-14.0,19.0,28.0,5.0,-32.0,15.0,16.0,6.0,-1,-1.0,L
2183,2009/2010,7.0,15.0,3.0,10.0,123.0,117.0,0.0,0.0,8.0,-1,0.0,L
2184,2009/2010,-4.0,-10.0,-3.0,-10.0,28.0,35.0,14.0,-12.0,-13.0,0,0.0,D
2185,2009/2010,24.0,-4.0,16.0,61.0,-32.0,-38.0,-19.0,-13.0,-17.0,0,1.0,D
2186,2009/2010,2.0,19.0,-15.0,-22.0,17.0,17.0,-12.0,34.0,32.0,0,1.0,D
2187,2009/2010,-2.0,32.0,-7.0,-40.0,27.0,23.0,14.0,-9.0,1.0,0,0.0,D
2188,2009/2010,-21.0,18.0,-11.0,8.0,17.0,23.0,35.0,12.0,10.0,1,0.0,W
2189,2009/2010,-12.0,11.0,1.0,-3.0,49.0,67.0,39.0,15.0,7.0,3,0.0,W
2190,2009/2010,-20.0,-3.0,-10.0,-38.0,-18.0,-7.0,17.0,12.0,1.0,-2,0.0,L
2191,2009/2010,-4.0,1.0,-4.0,-35.0,-28.0,0.0,-10.0,15.0,7.0,1,0.0,W
2192,2009/2010,-8.0,-10.0,35.0,77.0,-32.0,-7.0,-8.0,7.0,5.0,3,0.0,W
2193,2009/2010,13.0,15.0,-10.0,-53.0,8.0,0.0,-7.0,-14.0,-21.0,1,0.0,W
2194,2009/2010,-5.0,37.0,-25.0,-66.0,73.0,93.0,1.0,12.0,18.0,0,1.0,D
2195,2009/2010,-20.0,4.0,-3.0,-14.0,13.0,-17.0,9.0,9.0,11.0,2,0.0,W
2196,2009/2010,-4.0,10.0,-8.0,32.0,43.0,46.0,22.0,-8.0,-3.0,1,0.0,W
2197,2009/2010,15.0,-11.0,15.0,88.0,160.0,131.0,6.0,-11.0,4.0,1,-1.0,W
2198,2009/2010,8.0,-21.0,24.0,100.0,-27.0,-2.0,-9.0,0.0,1.0,1,0.0,W
2199,2009/2010,3.0,-25.0,18.0,94.0,-137.0,-133.0,-10.0,13.0,7.0,3,-4.0,W
2200,2009/2010,-8.0,-13.0,-1.0,-2.0,-12.0,-4.0,1.0,-16.0,-14.0,2,1.0,W
2201,2009/2010,-6.0,-5.0,2.0,-5.0,-2.0,10.0,2.0,23.0,0.0,0,0.0,D
2202,2009/2010,10.0,21.0,-21.0,-84.0,8.0,11.0,-15.0,-9.0,-4.0,0,1.0,D
2203,2009/2010,-7.0,12.0,-20.0,-91.0,48.0,62.0,7.0,-12.0,-12.0,2,0.0,W
2204,2009/2010,16.0,-22.0,6.0,35.0,-63.0,-108.0,-31.0,1.0,2.0,1,-1.0,W
2205,2009/2010,14.0,4.0,-20.0,-59.0,-30.0,-14.0,19.0,-25.0,-23.0,3,3.0,W
2206,2009/2010,-13.0,-35.0,13.0,9.0,-8.0,0.0,-1.0,10.0,11.0,0,3.0,D
2207,2009/2010,13.0,25.0,-8.0,-49.0,7.0,2.0,-21.0,-13.0,-4.0,-2,1.0,L
2208,2009/2010,15.0,5.0,9.0,41.0,23.0,-12.0,-11.0,-9.0,7.0,1,-3.0,W
2209,2009/2010,-9.0,-9.0,2.0,6.0,-119.0,-103.0,-2.0,12.0,-2.0,0,3.0,D
2210,2009/2010,18.0,0.0,3.0,16.0,11.0,17.0,-24.0,-9.0,-3.0,2,-1.0,W
2211,2009/2010,0.0,11.0,-6.0,-33.0,24.0,18.0,-8.0,-5.0,-13.0,0,1.0,D
2212,2009/2010,11.0,-20.0,5.0,36.0,-34.0,-96.0,-25.0,4.0,10.0,2,0.0,W
2213,2009/2010,20.0,-9.0,28.0,73.0,52.0,13.0,-2.0,4.0,4.0,2,1.0,W
2214,2009/2010,18.0,11.0,-28.0,-109.0,84.0,64.0,16.0,-16.0,-16.0,-2,0.0,L
2215,2009/2010,5.0,8.0,-3.0,-7.0,-29.0,0.0,-4.0,-34.0,-24.0,0,0.0,D
2216,2009/2010,-3.0,6.0,-10.0,6.0,-4.0,25.0,9.0,24.0,14.0,0,-5.0,D
2217,2009/2010,-11.0,39.0,-30.0,-71.0,36.0,32.0,20.0,3.0,6.0,0,0.0,D
2218,2009/2010,-4.0,-24.0,4.0,34.0,-106.0,-123.0,8.0,16.0,0.0,3,0.0,W
2219,2009/2010,2.0,-31.0,19.0,87.0,-3.0,13.0,8.0,12.0,-4.0,2,0.0,W
2220,2009/2010,-24.0,15.0,-16.0,-64.0,-60.0,-20.0,11.0,8.0,4.0,-2,0.0,L
2221,2009/2010,14.0,3.0,-7.0,-18.0,29.0,-3.0,-9.0,-5.0,-7.0,1,0.0,W
2222,2009/2010,-8.0,-17.0,3.0,33.0,50.0,74.0,17.0,-21.0,-20.0,3,1.0,W
2223,2009/2010,-3.0,18.0,-10.0,19.0,-17.0,-15.0,11.0,3.0,7.0,1,-1.0,W
2224,2009/2010,9.0,15.0,-7.0,-27.0,56.0,30.0,-7.0,-25.0,-17.0,-4,1.0,L
2225,2009/2010,16.0,23.0,-29.0,-47.0,-31.0,-21.0,7.0,9.0,9.0,1,1.0,W
2226,2009/2010,5.0,2.0,13.0,-7.0,-95.0,-79.0,-8.0,15.0,0.0,-1,0.0,L
2227,2009/2010,18.0,-4.0,12.0,64.0,32.0,-3.0,-3.0,7.0,15.0,4,-1.0,W
2228,2009/2010,16.0,-11.0,0.0,2.0,21.0,-9.0,-39.0,-4.0,-11.0,-2,-1.0,L
2229,2009/2010,-13.0,25.0,-18.0,-32.0,-22.0,3.0,24.0,-1.0,1.0,-3,0.0,L
2230,2009/2010,-30.0,-17.0,6.0,28.0,-35.0,-10.0,34.0,33.0,17.0,2,0.0,W
2231,2009/2010,-8.0,-26.0,9.0,-25.0,-48.0,-8.0,-15.0,2.0,-10.0,-1,0.0,L
2232,2009/2010,0.0,27.0,-18.0,-88.0,120.0,118.0,7.0,-12.0,-4.0,-3,1.0,L
2233,2009/2010,-11.0,-27.0,16.0,26.0,9.0,16.0,16.0,-11.0,-4.0,2,0.0,W
2234,2009/2010,15.0,-12.0,17.0,61.0,-6.0,-19.0,-15.0,10.0,11.0,1,0.0,W
2235,2009/2010,1.0,6.0,3.0,25.0,-65.0,-89.0,-18.0,1.0,11.0,0,1.0,D
2236,2009/2010,17.0,14.0,0.0,-12.0,-10.0,-26.0,-13.0,3.0,5.0,0,0.0,D
2237,2009/2010,-3.0,9.0,-7.0,-43.0,-35.0,-17.0,-8.0,-16.0,-8.0,-1,-1.0,L
2238,2009/2010,-13.0,-12.0,24.0,95.0,86.0,96.0,0.0,-8.0,5.0,5,-1.0,W
2239,2009/2010,-12.0,2.0,-10.0,-63.0,-86.0,-103.0,2.0,27.0,4.0,-1,0.0,L
2240,2009/2010,31.0,3.0,13.0,7.0,0.0,-11.0,-19.0,-17.0,-11.0,-2,0.0,L
2241,2009/2010,-1.0,-36.0,9.0,54.0,114.0,115.0,-18.0,-2.0,-3.0,3,0.0,W
2242,2009/2010,19.0,5.0,10.0,42.0,50.0,33.0,-17.0,-12.0,-2.0,2,0.0,W
2243,2009/2010,-11.0,19.0,-30.0,-133.0,3.0,12.0,12.0,-1.0,-4.0,0,0.0,D
2244,2009/2010,-7.0,-9.0,7.0,38.0,-22.0,-18.0,6.0,-10.0,-10.0,1,1.0,W
2245,2009/2010,6.0,18.0,-14.0,-9.0,36.0,7.0,-2.0,19.0,25.0,0,-7.0,D
2246,2009/2010,-14.0,-10.0,-3.0,-2.0,53.0,84.0,17.0,8.0,-3.0,4,6.0,W
2247,2009/2010,18.0,31.0,-33.0,-69.0,18.0,18.0,24.0,-12.0,-6.0,0,2.0,D
2248,2009/2010,16.0,-10.0,11.0,49.0,-47.0,-55.0,-17.0,-1.0,-14.0,0,-2.0,D
2249,2009/2010,3.0,-18.0,4.0,-39.0,-1.0,15.0,-11.0,-3.0,-7.0,-1,0.0,L
2250,2009/2010,-18.0,4.0,-17.0,-86.0,-37.0,9.0,3.0,-7.0,-15.0,0,-7.0,D
2251,2009/2010,-9.0,-15.0,13.0,67.0,-62.0,-65.0,7.0,25.0,17.0,0,1.0,D
2252,2009/2010,-5.0,-2.0,-12.0,15.0,80.0,102.0,8.0,-15.0,0.0,-2,2.0,L
2253,2009/2010,-16.0,-23.0,37.0,89.0,16.0,-11.0,-7.0,-9.0,-9.0,3,-12.0,W
2254,2009/2010,-16.0,11.0,-3.0,-10.0,-36.0,-20.0,39.0,4.0,11.0,2,2.0,W
2255,2009/2010,24.0,-15.0,24.0,96.0,-6.0,-27.0,-11.0,-8.0,-4.0,5,0.0,W
2256,2009/2010,-2.0,31.0,-18.0,-83.0,75.0,57.0,-8.0,-12.0,4.0,-2,11.0,L
2257,2009/2010,8.0,17.0,-6.0,-47.0,4.0,-11.0,-17.0,21.0,20.0,2,-6.0,W
2258,2009/2010,-14.0,-3.0,9.0,29.0,-25.0,-15.0,9.0,5.0,7.0,0,-1.0,D
2259,2009/2010,-20.0,9.0,-31.0,-85.0,-39.0,-15.0,2.0,-4.0,-4.0,0,4.0,D
2260,2009/2010,-5.0,-8.0,4.0,11.0,-18.0,-31.0,4.0,34.0,24.0,2,-3.0,W
2261,2009/2010,-11.0,20.0,-8.0,-44.0,-42.0,6.0,25.0,-4.0,-10.0,0,0.0,D
2262,2009/2010,-18.0,0.0,-4.0,-21.0,13.0,22.0,24.0,9.0,3.0,0,18.0,D
2263,2009/2010,-18.0,-11.0,31.0,121.0,2.0,-22.0,-16.0,16.0,16.0,4,0.0,W
2264,2009/2010,3.0,-6.0,10.0,-5.0,8.0,-38.0,-9.0,-24.0,-14.0,1,-4.0,W
2265,2009/2010,0.0,-11.0,8.0,42.0,26.0,9.0,8.0,5.0,13.0,2,0.0,W
2266,2009/2010,11.0,-39.0,31.0,76.0,7.0,-6.0,-20.0,-3.0,-6.0,3,-7.0,W
2267,2009/2010,9.0,9.0,-2.0,-4.0,85.0,92.0,2.0,-12.0,2.0,1,-1.0,W
2268,2009/2010,4.0,24.0,-8.0,-48.0,20.0,30.0,-8.0,-16.0,0.0,0,3.0,D
2269,2009/2010,17.0,-8.0,1.0,23.0,39.0,41.0,-13.0,-20.0,-13.0,0,1.0,D
2270,2009/2010,8.0,16.0,-6.0,-49.0,-95.0,-109.0,-23.0,10.0,-10.0,-1,0.0,L
2271,2009/2010,-5.0,2.0,-3.0,-6.0,23.0,-15.0,6.0,3.0,8.0,0,-11.0,D
2272,2009/2010,0.0,-28.0,11.0,53.0,32.0,-7.0,-29.0,9.0,7.0,2,10.0,W
2273,2009/2010,9.0,-16.0,20.0,89.0,45.0,53.0,8.0,12.0,4.0,2,0.0,W
2274,2009/2010,10.0,1.0,7.0,-30.0,21.0,10.0,8.0,-9.0,-11.0,0,3.0,D
2275,2009/2010,-11.0,-6.0,-6.0,-12.0,10.0,18.0,21.0,-6.0,-14.0,-2,1.0,L
2276,2009/2010,-13.0,31.0,-36.0,-103.0,-16.0,-8.0,3.0,24.0,21.0,-1,1.0,L
2277,2009/2010,21.0,-14.0,-9.0,-13.0,-99.0,-89.0,6.0,-3.0,-9.0,-2,-4.0,L
2278,2009/2010,9.0,35.0,-17.0,-21.0,46.0,41.0,1.0,-21.0,-7.0,0,-1.0,D
2279,2009/2010,-21.0,-13.0,31.0,116.0,6.0,-10.0,-13.0,15.0,13.0,5,3.0,W
2280,2009/2010,-12.0,-16.0,1.0,11.0,19.0,34.0,7.0,-6.0,-13.0,3,-2.0,W
2281,2009/2010,-8.0,-5.0,-3.0,4.0,80.0,109.0,15.0,-15.0,-3.0,0,-2.0,D
2282,2009/2010,-16.0,-14.0,-2.0,1.0,-24.0,-22.0,25.0,28.0,10.0,0,0.0,D
2283,2009/2010,-23.0,10.0,-13.0,-11.0,-11.0,-6.0,18.0,33.0,25.0,1,0.0,W
2284,2009/2010,8.0,6.0,7.0,19.0,71.0,63.0,-2.0,-12.0,-3.0,2,-2.0,W
2285,2009/2010,5.0,13.0,-6.0,-31.0,1.0,-29.0,-21.0,10.0,18.0,0,4.0,D
2286,2009/2010,-3.0,26.0,-14.0,-73.0,58.0,76.0,32.0,-10.0,-10.0,1,-2.0,W
2287,2009/2010,23.0,5.0,12.0,49.0,39.0,28.0,-17.0,-1.0,-6.0,1,0.0,W
2288,2009/2010,10.0,21.0,4.0,20.0,19.0,13.0,16.0,-5.0,-1.0,1,0.0,W
2289,2009/2010,-7.0,-15.0,-3.0,-6.0,-126.0,-97.0,0.0,0.0,-8.0,1,-1.0,W
2290,2009/2010,-2.0,-19.0,16.0,26.0,6.0,-5.0,12.0,-34.0,-32.0,3,0.0,W
2291,2009/2010,21.0,-18.0,8.0,-13.0,-35.0,-40.0,-35.0,-12.0,-10.0,2,1.0,W
2292,2009/2010,-1.0,14.0,-21.0,-42.0,14.0,40.0,-15.0,-16.0,-6.0,1,-1.0,W
2293,2009/2010,3.0,7.0,-1.0,-13.0,-18.0,-50.0,-9.0,18.0,11.0,0,0.0,D
2294,2009/2010,16.0,6.0,-1.0,-11.0,7.0,-12.0,-2.0,-8.0,-5.0,0,0.0,D
2295,2009/2010,4.0,10.0,4.0,12.0,-35.0,-28.0,-14.0,12.0,13.0,1,0.0,W
2296,2009/2010,25.0,10.0,-18.0,-66.0,-10.0,5.0,-2.0,-19.0,-9.0,0,0.0,D
2297,2009/2010,-24.0,4.0,-18.0,-68.0,-5.0,16.0,19.0,13.0,17.0,1,1.0,W
2298,2009/2010,2.0,-32.0,10.0,48.0,60.0,49.0,-14.0,9.0,-1.0,2,0.0,W
2299,2009/2010,-4.0,-27.0,13.0,9.0,-28.0,-15.0,-5.0,-13.0,-17.0,1,1.0,W
2300,2009/2010,11.0,8.0,-5.0,-20.0,2.0,-49.0,4.0,-5.0,3.0,-1,7.0,L
2301,2009/2010,21.0,2.0,6.0,40.0,6.0,-3.0,-27.0,-8.0,0.0,3,0.0,W
2302,2009/2010,3.0,4.0,2.0,-8.0,27.0,42.0,4.0,11.0,2.0,3,7.0,W
2303,2009/2010,5.0,-4.0,-20.0,-68.0,-5.0,3.0,23.0,-2.0,5.0,2,0.0,W
2304,2009/2010,16.0,-21.0,21.0,92.0,-58.0,-96.0,-9.0,4.0,-1.0,2,-1.0,W
2305,2009/2010,4.0,16.0,-8.0,-53.0,-82.0,-90.0,-23.0,-1.0,-6.0,-3,-7.0,L
2306,2009/2010,-21.0,18.0,-37.0,-104.0,7.0,29.0,4.0,8.0,7.0,-2,0.0,L
2307,2009/2010,-7.0,-16.0,-11.0,-43.0,-25.0,-11.0,-22.0,-3.0,-5.0,0,-6.0,D
2308,2009/2010,9.0,-13.0,22.0,44.0,7.0,1.0,-9.0,-28.0,-18.0,3,-1.0,W
2309,2009/2010,-9.0,3.0,-9.0,-40.0,-2.0,9.0,-4.0,18.0,15.0,0,1.0,D
2310,2009/2010,4.0,0.0,0.0,3.0,-41.0,-45.0,0.0,11.0,-4.0,1,-1.0,W
2311,2009/2010,-11.0,19.0,-17.0,-84.0,88.0,125.0,3.0,-7.0,-7.0,-2,0.0,L
2312,2009/2010,-39.0,-13.0,26.0,91.0,-9.0,-3.0,11.0,24.0,16.0,3,0.0,W
2313,2009/2010,6.0,-20.0,19.0,100.0,80.0,45.0,4.0,1.0,2.0,1,0.0,W
2314,2009/2010,-7.0,1.0,-18.0,-82.0,22.0,-3.0,18.0,3.0,-7.0,-2,1.0,L
2315,2009/2010,8.0,7.0,17.0,62.0,-4.0,8.0,20.0,-9.0,-6.0,-2,1.0,L
2316,2009/2010,5.0,19.0,-8.0,34.0,123.0,128.0,24.0,-20.0,-1.0,1,0.0,W
2317,2009/2010,-5.0,10.0,-8.0,14.0,11.0,7.0,-6.0,24.0,22.0,-1,-1.0,L
2318,2009/2010,11.0,7.0,10.0,-9.0,-39.0,-53.0,-10.0,-8.0,0.0,1,-1.0,W
2319,2009/2010,-15.0,11.0,-21.0,-105.0,-67.0,-53.0,-6.0,11.0,-4.0,1,1.0,W
2320,2009/2010,20.0,-4.0,3.0,20.0,28.0,26.0,-9.0,-9.0,-11.0,-1,4.0,L
2321,2009/2010,12.0,-11.0,-1.0,10.0,64.0,35.0,-39.0,-15.0,-7.0,-1,0.0,L
2322,2009/2010,-8.0,21.0,-29.0,-130.0,6.0,18.0,9.0,0.0,-1.0,-5,1.0,L
2323,2009/2010,-13.0,-15.0,14.0,72.0,17.0,20.0,7.0,14.0,21.0,4,-8.0,W
2324,2009/2010,4.0,-10.0,7.0,-34.0,-174.0,-178.0,-22.0,8.0,3.0,1,-1.0,W
2325,2009/2010,20.0,3.0,13.0,49.0,-13.0,-27.0,-17.0,-12.0,-1.0,0,0.0,D
2326,2009/2010,5.0,-37.0,32.0,95.0,25.0,-7.0,-1.0,-12.0,-18.0,2,0.0,W
2327,2009/2010,8.0,10.0,-41.0,-110.0,29.0,31.0,8.0,-7.0,-5.0,-1,-4.0,L
2328,2009/2010,4.0,-1.0,4.0,31.0,-22.0,-21.0,10.0,-15.0,-7.0,-1,-1.0,L
2329,2009/2010,0.0,-27.0,11.0,57.0,-63.0,-65.0,-7.0,12.0,4.0,3,4.0,W
2330,2009/2010,3.0,-9.0,9.0,49.0,42.0,19.0,8.0,16.0,8.0,-2,-4.0,L
2331,2009/2010,-17.0,-14.0,0.0,1.0,-33.0,9.0,13.0,-3.0,-5.0,1,-3.0,W
2332,2009/2010,30.0,17.0,-1.0,-6.0,33.0,26.0,-34.0,-33.0,-17.0,-1,4.0,L
2333,2009/2010,13.0,-25.0,15.0,11.0,30.0,8.0,-24.0,1.0,-1.0,1,3.0,W
2334,2009/2010,-15.0,12.0,-12.0,-41.0,-8.0,15.0,15.0,-10.0,-11.0,-2,3.0,L
2335,2009/2010,8.0,26.0,-12.0,19.0,8.0,-1.0,15.0,-2.0,10.0,0,0.0,D
2336,2009/2010,-1.0,-6.0,-3.0,-17.0,44.0,48.0,18.0,-1.0,-11.0,1,-4.0,W
2337,2009/2010,11.0,27.0,-16.0,-14.0,-20.0,-31.0,-16.0,11.0,4.0,1,-4.0,W
2338,2009/2010,13.0,12.0,-16.0,-54.0,-114.0,-91.0,0.0,8.0,-5.0,-5,1.0,L
2339,2009/2010,-13.0,-25.0,9.0,58.0,74.0,77.0,21.0,13.0,4.0,2,0.0,W
2340,2009/2010,-16.0,22.0,-12.0,-53.0,-1.0,29.0,31.0,-1.0,-2.0,0,-10.0,D
2341,2009/2010,-15.0,-5.0,-9.0,-44.0,-26.0,22.0,11.0,9.0,-7.0,0,-17.0,D
2342,2009/2010,-14.0,-4.0,24.0,79.0,9.0,-17.0,-19.0,25.0,23.0,3,-6.0,W
2343,2009/2010,7.0,-12.0,24.0,108.0,43.0,23.0,-7.0,12.0,12.0,3,1.0,W
2344,2009/2010,-3.0,25.0,-26.0,-126.0,58.0,43.0,10.0,-13.0,-7.0,-1,-1.0,L
2345,2009/2010,13.0,35.0,-16.0,-23.0,5.0,-6.0,1.0,-10.0,-11.0,0,-2.0,D
2346,2009/2010,6.0,5.0,-1.0,3.0,18.0,21.0,-2.0,-23.0,0.0,4,-1.0,W
2347,2009/2010,8.0,13.0,0.0,-6.0,-7.0,3.0,-1.0,16.0,14.0,-1,-4.0,L
2348,2009/2010,-10.0,-21.0,24.0,95.0,33.0,36.0,15.0,9.0,4.0,3,7.0,W
2349,2009/2010,-3.0,-11.0,13.0,-10.0,-87.0,-104.0,-7.0,-1.0,-14.0,1,-3.0,W
2350,2009/2010,-13.0,-24.0,4.0,-27.0,21.0,31.0,-9.0,5.0,-2.0,2,-1.0,W
2351,2009/2010,-18.0,-27.0,20.0,84.0,-63.0,-72.0,17.0,21.0,7.0,2,0.0,W
2352,2009/2010,17.0,0.0,23.0,47.0,-10.0,-17.0,-10.0,-12.0,-4.0,0,-3.0,D
2353,2009/2010,-7.0,29.0,-26.0,-123.0,-157.0,-161.0,-2.0,11.0,9.0,0,0.0,D
2354,2009/2010,3.0,2.0,2.0,14.0,-36.0,-6.0,-3.0,1.0,3.0,1,-2.0,W
2355,2009/2010,-14.0,-21.0,9.0,52.0,23.0,30.0,25.0,13.0,10.0,2,0.0,W
2356,2009/2010,-7.0,19.0,-4.0,-20.0,-8.0,25.0,35.0,-19.0,-17.0,-1,0.0,L
2357,2009/2010,-28.0,-1.0,9.0,21.0,-35.0,-23.0,-6.0,3.0,1.0,1,1.0,W
2358,2009/2010,1.0,9.0,-9.0,-47.0,-16.0,30.0,-14.0,-19.0,-17.0,-1,0.0,L
2359,2009/2010,23.0,-6.0,23.0,94.0,50.0,15.0,-9.0,4.0,7.0,3,3.0,W
2360,2009/2010,8.0,-27.0,9.0,65.0,128.0,140.0,-16.0,-14.0,-1.0,3,-4.0,W
2361,2009/2010,-12.0,-17.0,14.0,75.0,-18.0,-35.0,10.0,24.0,14.0,2,4.0,W
2362,2009/2010,19.0,17.0,-31.0,-123.0,1.0,-23.0,-2.0,-15.0,-5.0,-4,1.0,L
2363,2009/2010,29.0,8.0,0.0,4.0,1.0,-37.0,-20.0,-14.0,0.0,-1,-3.0,L
2364,2009/2010,3.0,14.0,-22.0,-48.0,-16.0,-20.0,-15.0,-5.0,-10.0,0,1.0,D
2365,2009/2010,4.0,7.0,-11.0,-64.0,41.0,15.0,-3.0,9.0,7.0,2,1.0,W
2366,2009/2010,4.0,-18.0,16.0,68.0,22.0,10.0,6.0,4.0,-3.0,6,0.0,W
2367,2009/2010,-6.0,2.0,-14.0,3.0,135.0,149.0,5.0,13.0,12.0,-1,4.0,L
2368,2009/2010,-3.0,45.0,-29.0,-75.0,77.0,94.0,18.0,-9.0,3.0,0,-4.0,D
2369,2009/2010,-4.0,11.0,-14.0,-57.0,33.0,24.0,-8.0,-16.0,-9.0,2,-1.0,W
2370,2009/2010,-8.0,-6.0,7.0,36.0,-38.0,13.0,-7.0,6.0,0.0,2,0.0,W
2371,2009/2010,-1.0,-8.0,-5.0,-16.0,155.0,172.0,11.0,-11.0,-10.0,0,1.0,D
2372,2009/2010,-29.0,8.0,4.0,-2.0,-9.0,-14.0,-4.0,15.0,12.0,-1,0.0,L
2373,2009/2010,1.0,-8.0,4.0,46.0,29.0,41.0,19.0,-33.0,-18.0,1,2.0,W
2374,2009/2010,-34.0,-17.0,10.0,46.0,1.0,18.0,34.0,22.0,21.0,0,0.0,D
2375,2009/2010,-5.0,38.0,-24.0,-61.0,28.0,65.0,23.0,15.0,15.0,-5,1.0,L
2376,2009/2010,-6.0,7.0,-11.0,-53.0,-15.0,-44.0,0.0,4.0,4.0,-1,0.0,L
2377,2009/2010,-10.0,30.0,-29.0,-75.0,-1.0,9.0,18.0,-9.0,-5.0,0,1.0,D
2378,2009/2010,13.0,-24.0,33.0,93.0,-82.0,-109.0,-2.0,4.0,-4.0,1,0.0,W
2379,2009/2010,34.0,6.0,2.0,7.0,-22.0,-39.0,-26.0,-17.0,-8.0,1,-1.0,W
2380,2009/2010,-2.0,5.0,-14.0,-3.0,4.0,-20.0,-1.0,3.0,11.0,0,0.0,D
2381,2009/2010,-8.0,-1.0,4.0,6.0,-56.0,-43.0,-13.0,23.0,8.0,0,-1.0,D
2382,2009/2010,-12.0,10.0,-11.0,-46.0,-32.0,-8.0,17.0,12.0,10.0,1,0.0,W
2383,2009/2010,3.0,-46.0,19.0,36.0,15.0,0.0,-40.0,6.0,0.0,4,1.0,W
2384,2009/2010,14.0,-3.0,16.0,68.0,26.0,4.0,-13.0,22.0,22.0,0,0.0,D
2385,2009/2010,2.0,-12.0,8.0,-21.0,66.0,40.0,9.0,-25.0,-25.0,-3,0.0,L
2386,2009/2010,10.0,-25.0,29.0,135.0,9.0,41.0,6.0,0.0,-7.0,1,0.0,W
2387,2009/2010,22.0,21.0,-30.0,-129.0,-72.0,-71.0,2.0,-4.0,-3.0,0,0.0,D
2388,2009/2010,20.0,14.0,1.0,-8.0,5.0,-5.0,-25.0,-17.0,-14.0,0,1.0,D
2389,2009/2010,-8.0,26.0,-22.0,-116.0,36.0,51.0,-6.0,11.0,4.0,1,0.0,W
2390,2009/2010,-20.0,4.0,-17.0,-72.0,-43.0,-42.0,19.0,24.0,13.0,1,-1.0,W
2391,2009/2010,-11.0,-16.0,11.0,8.0,44.0,35.0,8.0,-16.0,-17.0,1,0.0,W
2392,2009/2010,-9.0,-12.0,3.0,18.0,-14.0,66.0,11.0,5.0,-11.0,-1,2.0,L
2393,2009/2010,-4.0,3.0,-15.0,-69.0,-32.0,-50.0,15.0,4.0,-4.0,-1,0.0,L
2394,2009/2010,-11.0,-12.0,20.0,90.0,28.0,34.0,17.0,21.0,15.0,3,-1.0,W
2395,2009/2010,6.0,-6.0,17.0,26.0,20.0,19.0,11.0,-18.0,-18.0,0,0.0,D
2396,2009/2010,17.0,25.0,-9.0,-61.0,-143.0,-161.0,-21.0,-2.0,-8.0,-1,3.0,L
2397,2009/2010,0.0,20.0,-2.0,55.0,-1.0,18.0,8.0,4.0,10.0,0,-1.0,D
2398,2009/2010,21.0,-15.0,-19.0,-58.0,25.0,11.0,-16.0,-6.0,-6.0,-1,0.0,L
2399,2009/2010,-9.0,-8.0,6.0,24.0,-6.0,-2.0,4.0,23.0,28.0,1,0.0,W
2400,2009/2010,13.0,4.0,-5.0,-38.0,41.0,6.0,1.0,-9.0,-8.0,-1,-4.0,L
2401,2009/2010,-14.0,-11.0,-13.0,13.0,46.0,65.0,6.0,-3.0,-2.0,0,0.0,D
2402,2009/2010,26.0,1.0,0.0,22.0,21.0,7.0,-11.0,-32.0,-11.0,1,-1.0,W
2403,2009/2010,-9.0,4.0,19.0,67.0,32.0,8.0,-23.0,-9.0,-1.0,2,0.0,W
2404,2009/2010,19.0,-13.0,27.0,119.0,3.0,-44.0,-5.0,-5.0,4.0,7,0.0,W
2405,2009/2010,-12.0,22.0,-35.0,-111.0,-59.0,-20.0,1.0,12.0,10.0,-4,2.0,L
2406,2009/2010,-2.0,4.0,4.0,15.0,48.0,38.0,-15.0,0.0,8.0,0,1.0,D
2407,2009/2010,7.0,-21.0,21.0,29.0,-20.0,-9.0,-26.0,-7.0,-3.0,1,-4.0,W
2408,2009/2010,0.0,1.0,10.0,35.0,-74.0,-77.0,22.0,3.0,-3.0,0,-1.0,D
2409,2009/2010,-5.0,1.0,7.0,21.0,35.0,45.0,-16.0,24.0,11.0,0,0.0,D
